DPEPROJ;"Diagnostic de performance énergétique projeté (Rénovation globale)";
WORKAREACODE;"Type de partie du logement à rénover";"01 - Partie privative";"02 - Partie commune"
DEPT;"Département du logement à rénover";"Code officiel géographique - Départements - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
REGION;"Région du logement à rénover";
COMMUNE;"Commune du logement à rénover";
CODEINSEE;"Code INSEE de la commune du logement à rénover";"Code officiel géographique - Communes - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
POSTCODELGT;"Code postal du logement à rénover";"Codes postaux - <a href='https://www.data.gouv.fr/fr/datasets/base-officielle-des-codes-postaux/' target=""_blank""> cliquer ici</a>"
LATITUDELGT;"Latitude (en projection légale) du logement à rénover";
LONGITUDELGT;"Longitude (en projection légale) du logement à rénover";
LATITUDELGT_GEO;"Latitude du logement à rénover";
LONGITUDELGT_GEO;"Longitude du logement à rénover";
RESULTAT_GEO;"Indicateur de fiabilité de la géolocalisation";
PYSTATUSWORK;"Statut du dossier";
DTFORCLUSION;"Date de forclusion";
DTDEPOTDOSSIER;"Date de dépôt du dossier à l'engagement";
DTOCTROI;"Date d'octroi de l'engagement";
DTDEPOTDOSSIERAVANCE;"Date de dépôt d'une demande d'avance";
DTDECAVANCE;"Date de décision d'une demande d'avance ";
DTPAIEMENTAVANCE;"Date de paiement de l'avance";
DTDEPOTDOSSIERSOLDE;"Date de dépôt du dossier solde";
DTOCTROISOLDE;"Date d'octroi du solde";
DTREJETOCTROISOLDE;"Date du dernier rejet au moment du solde";
DTPAIEMENTSOLDE;"Date de paiement du solde";
TYPERETRAITRT;"Type de retrait (Partiel ou Total)";"RT - Retrait total";"RP - Retrait partiel"
MTDEGAGEMENT;"Montant de dégagement lors d'un retrait";
TTMTTTCPLANFININIT;"Montant total Toutes Taxes Comprises (T.T.C.) du plan de financement subventionnable saisi par le demandeur à l'engagement";
TTMTTTCPLANFIN;"Montant total Toutes Taxes Comprises (T.T.C.) du plan de financement subventionnable à l'engagement";
TTMTTTCPLANFINSOLDEINIT;"Montant total Toutes Taxes Comprises (T.T.C.) du plan de financement subventionnable saisi par le demandeur au solde";
TTMTTTCPLANFINSOLDE;"Montant total Toutes Taxes Comprises (T.T.C.) du plan de financement subventionnable au solde";
TTMTWPINIT;"Montant de la subvention au dépôt de la demande d'engagement";
TTMTWP;"Montant de la subvention à l'engagement";
TTMTWPSOLDEINIT;"Montant de la subvention au dépôt de la demande de solde";
TTMTWPSOLDE;"Montant de la subvention au solde";
MTWPAVANCE;"Montant de l'avance";
TAUXMONTANTAVANCE;"Taux de l'avance";
TTMTCEEINIT;"Montant total des aides du Certificat d'Économies d'Énergie (CEE) saisi par le demandeur à l'engagement";
TTMTCEE;"Montant total des aides du Certificat d'Économies d'Énergie (CEE) à l'engagement";
TTMTCEESOLDEINIT;"Montant total des aides du Certificat d'Économies d'Énergie (CEE) saisi par le demandeur au solde";
TTMTCEESOLDE;"Montant total des aides du Certificat d'Économies d'Énergie (CEE) au solde";
MTSUBISDOTHERINIT;"Montant des autres aides saisi par le demandeur à l'engagement";
MTSUBISDOTHER;"Montant des autres aides à l'engagement";
MTSUBISDOTHERSOLDEINIT;"Montant des autres aides saisi par le demandeur au solde";
MTSUBISDOTHERSOLDE;"Montant des autres aides au solde";
OTHERSUBSIDNAMEINIT;"Nom des autres aides saisi par le demandeur à l'engagement";
OTHERSUBSIDNAME;"Nom des autres aides à l'engagement";
OTHERSUBSIDNAMESOLDEINIT;"Nom des autres aides saisi par le demandeur au solde";
OTHERSUBSIDNAMESOLDE;"Nom des autres aides au solde";
MTSUBSIDALINIT;"Montant de l'aide Action Logement saisi par le demandeur à l'engagement";
MTSUBSIDAL;"Montant de l'aide Action Logement à l'engagement";
MTSUBSIDALSOLDEINIT;"Montant de l'aide Action Logement saisi par le demandeur au solde";
MTSUBSIDALSOLDE;"Montant de l'aide Action Logement au solde";
MTSUBSIDPENSIONINIT;"Montant de l'aide de la caisse de retraite saisi par le demandeur à l'engagement";
MTSUBSIDPENSION;"Montant de l'aide de la caisse de retraite à l'engagement";
MTSUBSIDPENSIONSOLDEINIT;"Montant de l'aide de la caisse de retraite saisi par le demandeur au solde";
MTSUBSIDPENSIONSOLDE;"Montant de l'aide de la caisse de retraite au solde";
MTSUBSIDTERRITCOMINIT;"Montant de l'aide des collectivités territoriales saisi par le demandeur à l'engagement";
MTSUBSIDTERRITCOM;"Montant de l'aide des collectivités territoriales à l'engagement";
MTSUBSIDTERRITCOMSOLDEINIT;"Montant de l'aide des collectivités territoriales saisi par le demandeur au solde";
MTSUBSIDTERRITCOMSOLDE;"Montant de l'aide des collectivités territoriales au solde";
REMAINSDEPENDINIT;"Montant du reste à charge auprès du demandeur au dépôt de la demande d'engagement";
REMAINSDEPEND;"Montant du reste à charge auprès du demandeur à l'engagement";
REMAINSDEPENDSOLDEINIT;"Montant du reste à charge auprès du demandeur au dépôt de la demande de solde";
REMAINSDEPENDSOLDE;"Montant du reste à charge auprès du demandeur au solde";
NBSUBTYPEENGTRT;"Nombre de gestes distincts enregistrés lors de l'engagement";
SUBTYPENAMEENGTRT;"Liste des gestes distincts enregistrés lors de l'engagement";
NBSUBTYPESOLDERT;"Nombre de gestes distincts enregistrés lors du solde";
SUBTYPENAMESOLDERT;"Liste des gestes distincts enregistrés lors du solde";
DTPRISEDOSSIERMANDATAIREDL;"Date de prise du dossier par le mandataire administratif (DL)";
DTPRISEDOSSIERMANDATAIREPF;"Date de prise du dossier par le mandataire financier (PF)";
DTOFDLREVOCATION;"Date de révocation du mandataire administratif (DL)";
DTOFPFREVOCATION;"Date de révocation du mandataire financier (PF)";
IMMATRICULATIONDL;"Numéro d'immatriculation du mandataire administratif (DL)";
IMMATRICULATIONPF;"Numéro d'immatriculation du mandataire financier (PF)";
PYIDDL;"Identifiant unique du mandataire administratif (DL)";
RAISONSOCIALEDL;"Raison sociale du mandataire administratif (DL)";
ROLEDL;"Rôle du mandataire administratif (DL)";"DL - Mandat administratif";"PF - Mandat financier";"DL + PF - Mandat mixte"
SIRENDL;"Siren du mandataire administratif (DL)";
TYPEPERSONNEDL;"Type de personne du mandataire administratif (DL)";"MPM - Mandataire personne morale";"MPPM - Mandataire personne physique travaillant pour une personne morale";"MPP - Mandataire personne physique"
PYIDPF;"Identifiant unique du mandataire financier (PF)";
RAISONSOCIALEPF;"Raison sociale du mandataire financier (PF)";
ROLEPF;"Rôle du mandataire financier (PF)";"DL - Mandat administratif";"PF - Mandat financier";"DL + PF - Mandat mixte"
SIRENPF;"Siren du mandataire financier (PF)";
TYPEPERSONNEPF;"Type de personne du mandataire financier (PF)";"MPM - Mandataire personne morale";"MPPM - Mandataire personne physique travaillant pour une personne morale";"MPP - Mandataire personne physique"



MPR_POPB_engtOuPaiementSolde_2023T2_Occupants
"Données sur les occupants de Ma prime Rénov 2023. Une table par trimestre"

"Nom de la variable";Libellé;Modalités
PYIDDOS;"Identifiant unique du dossier";
NUMEROOCCUPANT;"Numéro de l'occupant";



MPR_POPB_engtOuPaiementSolde_2023T2_Travaux_corr3
"Données sur les travaux de Ma Prime Rénov 2023. Une table par trimestre"

"Nom de la variable";Libellé;Modalités
PYIDDOS;"Identifiant unique du dossier";
POSITION;"Numéro d'occurrence de l'étape au sein du dossier";
FAMILYNAMEINIT;"Nom de la famille du travaux lors du dépôt du dossier";
SUBTYPENAMEINIT;"Nom du travaux /geste saisi par le demandeur à l'engagement ";
FAMILYNAME;"Nom de la famille du travaux lors de l'engagement";
SUBTYPENAME;"Nom du travaux / geste lors de l'engagement";
SIRETSCT;"Numéro de SIRET de l'entreprise en charge du travaux ";
SOCIALREASONSCT;"Raison social de l'entreprise en charge du travaux";
DTEMISSIONDEVIS;"Date de la facture du travaux par l'entreprise saisie par le demandeur à l'étape de subvention";
DTSYNTHESEAUDIT;"Date de l'audit énergétique saisie par le demandeur à l'étape de subvention";
DTFACTURE;"Date de la facture du travaux par l'entreprise saisie par le demandeur à l'étape de solde";
MTWPINIT;"Montant de la subvention au dépôt de la demande d'engagement";
MTWP;"Montant de la subvention à l'engagement";
MTWPSOLDEINIT;"Montant de la subvention au dépôt de la demande de solde";
MTWPSOLDE;"Montant de la subvention au solde";
MTTTCPLANFININIT;"Montant Toutes Taxes Comprises (T.T.C.) du travaux saisi par le demandeur à l'engagement";
MTTTCPLANFIN;"Montant Toutes Taxes Comprises (T.T.C.) du travaux à l'engagement";
MTTTCPLANFINSOLDEINIT;"Montant Toutes Taxes Comprises (T.T.C.) du travaux saisi par le demandeur au solde";
MTTTCPLANFINSOLDE;"Montant Toutes Taxes Comprises (T.T.C.) du travaux au solde";
WPEQUIPEMENT;"Nombre d'équipements saisis";
WPSURFACE;"Surface au métre-carré du travaux";



